sample_id,class_label,source_config,carrier_model,working_state,frequencies_hz
L2_radar_top_008,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_009,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_010,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_radar_top_011,radar_top,radar_top,level2_multisource_no_airframe,radar_top_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_000,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_001,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_002,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_003,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_004,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_005,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_006,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_007,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_008,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_009,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_010,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_mixed_avionics_011,mixed_avionics,mixed_avionics,level2_multisource_no_airframe,mixed_avionics_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_000,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_001,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_002,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_003,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_004,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_005,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_006,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_007,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_008,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_009,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_010,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
L2_multi_state_on_011,multi_state_on,multi_state_on,level2_multisource_no_airframe,multi_state_on_state,900000000;1050000000;1200000000;1350000000;1500000000
